CODE;LABEL FR;LABEL NL;LABEL EN;CODE CPV;Intitulé CPV FR;Intitulé CPV ENG;Intitulé CPV NL
PO02023001;VIANDE DE BOVIDE ADULTE,CONGELE;RUNDSVLEES,BEVROREN;BOVIDE MEAT,FROZEN;15111100-0;Viande de bœuf;Beef;Rundvlees
PO02023002;VIANDE DE BOVIDE SAUVAGE,CONGELE;WILD RUNDSVLEES,BEVROREN;WILD BOVIDE MEAT,FROZEN;15119300-8;Gibier;Game;Wild
PO02023003;VIANDE DE VEAU,CONGELE;KALFSVLEES,BEVROREN;VEAL MEAT,FROZEN;15131600-1;Produits à base de bœuf et de veau;Beef and veal products;Rund- en kalfsvleesproducten
PO02031101;VIANDE DE PORC,PAS JAMBON,NON DESOSSE,FRAIS;VARKENSVLEES,GEEN HAM,NIET UITGEBEEND,VERS;PORK MEAT,NOT HAM,NOT BONED,FRESH;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02031201;JAMBON,NON DESOSSE,FRAIS;HAM,NIET UITGEBEEND,VERS;HAM,NOT BONED,FRESH;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02031901;VIANDE DE PORC,PAS JAMBON,DESOSSE,FRAIS;VARKENSVLEES,GEEN HAM,UITGEBEEND,VERS;PORK MEAT,NOT HAM,BONED,FRESH;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02031902;JAMBON,DESOSSE,FRAIS;HAM,UITGEBEEND,VERS;HAM,BONED,FRESH;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02031903;VIANDE DE SANGLIER,FRAICHE;EVERZWIJNVLEES,VERS;WILD BOAR MEAT,FRESH;15119300-8;Gibier;Game;Wild
PO02032101;VIANDE DE PORC,PAS JAMBON,NON DESOSSE,CONGELE;VARKENSVLEES,GEEN HAM,NIET UITGEBEEND,BEVROREN;PORK MEAT,NOT HAM,NOT BONED,FROZEN;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02032201;JAMBON,NON DESOSSE,CONGELE;HAM,NIET UITGEBEEND,BEVROREN;HAM,NOT BONED,FROZEN;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02032901;VIANDE DE PORC,PAS JAMBON,DESOSSE,CONGELE;VARKENSVLEES,GEEN HAM,UITGEBEEND,BEVROREN;PORK MEAT,NOT HAM,BONED,FROZEN;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02032902;JAMBON,DESOSSE,CONGELE;HAM,UITGEBEEND,BEVROREN;HAM,BONED,FROZEN;15131400-9;Produits à base de porc;Pork products;Varkensproducten
PO02032903;VIANDE DE SANGLIER,CONGELE;EVERZWIJNVLEES,BEVROREN;WILD BOAR MEAT,FROZEN;15119300-8;Gibier;Game;Wild
PO02042300;VIANDE DE MOUTON,FRAICHE;SCHAPENVLEES,VERS;MUTTON MEAT,FRESH;15115200-9;Viande de mouton;Mutton;Schapenvlees
PO02044300;VIANDE DE MOUTON,CONGELE;SCHAPENVLEES,BEVROREN;MUTTON MEAT,FROZEN;15115200-9;Viande de mouton;Mutton;Schapenvlees
PO02045000;VIANDE DE CHEVRE,FRAICHE;GEITENVLEES,VERS;GOAT MEAT,FRESH;15117000-1;Viande de chèvre;Goat meat;Geitenvlees
PO02050000;VIANDE DE CHEVAL,FRAICHE;PAARDENVLEES,VERS;HORSEMEAT,FRESH;15118100-9;Viande de cheval;Horsemeat;Paardenvlees
PO02050001;VIANDE DE CHEVAL,CONGELE;PAARDENVLEES,BEVROREN;HORSEMEAT,FROZEN;15118100-9;Viande de cheval;Horsemeat;Paardenvlees
PO02061000;ABATS DE BOVIDE,COMESTIBLE,FRAIS;RUNDSSLACHTAFVAL,EETBAAR,VERS;BOVIDE OFFAL,EDIBLE,FRESH;15114000-0;Abats;Offal;Slachtafval
PO02062900;ABATS DE BOVIDE,COMESTIBLE,CONGELE;RUNDSSLACHTAFVAL,EETBAAR,BEVROREN;BOVIDE OFFAL,EDIBLE,FROZEN;15114000-0;Abats;Offal;Slachtafval
PO02063000;ABATS DE PORC,COMESTIBLE,FRAIS;VARKENSSLACHTAFVAL,EETBAAR,VERS;PIG OFFAL,EDIBLE,FRESH;15114000-0;Abats;Offal;Slachtafval
PO02064900;ABATS DE PORC,COMESTIBLE,CONGELE;VARKENSSLACHTAFVAL,EETBAAR,BEVROREN;PIG OFFAL,EDIBLE,FROZEN;15114000-0;Abats;Offal;Slachtafval
PO02068000;ABATS DE CHEVAL,COMESTIBLE,FRAIS;PAARDENSLACHTAFVAL,EETBAAR,VERS;HORSE OFFAL,EDIBLE,FRESH;15114000-0;Abats;Offal;Slachtafval
PO02068001;ABATS DE MOUTON,OVIN,COMESTIBLE,FRAIS;SCHAPENSLACHTAFVAL,EETBAAR,VERS;SHEEP OFFAL,OVINE,EDIBLE,FRESH;15114000-0;Abats;Offal;Slachtafval
PO02069000;ABATS DE CHEVAL,COMESTIBLE,CONGELE;PAARDENSLACHTAFVAL,EETBAAR,BEVROREN;HORSE OFFAL,EDIBLE,FROZEN;15114000-0;Abats;Offal;Slachtafval
PO02069001;ABATS DE MOUTON,OVIN,COMESTIBLE,CONGELE;SCHAPENSLACHTAFVAL,EETBAAR,BEVROREN;SHEEP OFFAL,OVINE,EDIBLE,FROZEN;15114000-0;Abats;Offal;Slachtafval
PO02071001;POULET,FRAIS;KIP,VERS;CHICKEN,FRESH;15112130-6;Poulets;Chickens;Kippen
PO02071002;CANARD,FRAIS;EEND,VERS;DUCK,FRESH;15112140-9;Canards;Ducks;Eenden
PO02071003;OIE,FRAICHE;GANS,VERS;GOOSE,FRESH;15112110-0;Oies;Geese;Ganzen
PO02071004;DINDE,FRAICHE;KALKOEN,VERS;TURKEY,FRESH;15112120-3;Dindes;Turkeys;Kalkoenen
PO02071005;PINTADE,FRAICHE;PARELHOEN,VERS;GUINEA-FOWL,FRESH;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02072101;POULET,CONGELE;KIP,BEVROREN;CHICKEN,FROZEN;15112130-6;Poulets;Chickens;Kippen
PO02072201;DINDE,CONGELE;KALKOEN,BEVROREN;TURKEY,FROZEN;15112130-6;Poulets;Chickens;Kippen
PO02072301;CANARD,CONGELE;EEND,BEVROREN;DUCK,FROZEN;15112140-9;Canards;Ducks;Eenden
PO02072302;OIE,CONGELE;GANS,BEVROREN;GOOSE,FROZEN;15112110-0;Oies;Geese;Ganzen
PO02072303;PINTADE,CONGELE;PARELHOEN,BEVROREN;GUINEA-FOWL,FROZEN;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02073101;FOIE D'OIE,FRAIS;GANZELEVER,VERS;GOOSE LIVER,FRESH;15112310-2;Foie gras;Foie gras;Foie gras
PO02073102;FOIE DE CANARD,FRAIS;EENDELEVER,VERS;DUCK LIVER,FRESH;15112300-9;Foies de volaille;Poultry livers;Levers van pluimvee
PO02073900;ABATS DE VOLAILLE,SAUF FOIE,COMESTIBLE;PLUIMVEESLACHTAFVAL,CONSUMPTIE,GEEN LEVER;POULTRY OFFAL,EXCEPT LIVER,EDIBLE;15114000-0;Abats;Offal;Slachtafval
PO02073901;FOIE DE POULET,FRAIS;KIPPENLEVER,VERS;CHICKEN LIVER,FRESH;15112300-9;Foies de volaille;Poultry livers;Levers van pluimvee
PO02075001;FOIE D'OIE,CONGELE;GANZELEVER,BEVROREN;GOOSE LIVER,FROZEN;15112310-2;Foie gras;Foie gras;Foie gras
PO02075002;FOIE DE CANARD,CONGELE;EENDELEVER,BEVROREN;DUCK LIVER,FROZEN;15112300-9;Foies de volaille;Poultry livers;Levers van pluimvee
PO02075003;FOIE DE POULET,CONGELE;KIPPENLEVER,BEVROREN;CHICKEN LIVER,FROZEN;15112300-9;Foies de volaille;Poultry livers;Levers van pluimvee
PO02081000;LAPIN DOMESTIQUE,FRAIS;KONIJN,TAM,VERS;RABBIT,DOMESTICATED,FRESH;15119100-6;Viande de lapin;Rabbit meat;Konijnenvlees
PO02081001;LAPIN DOMESTIQUE,CONGELE;KONIJN,TAM,BEVROREN;RABBIT,DOMESTICATED,FROZEN;15119100-6;Viande de lapin;Rabbit meat;Konijnenvlees
PO02081002;LIEVRE,FRAIS;HAAS,VERS;HARE,FRESH;15119200-7;Viande de lièvre;Hare meat;Hazenvlees
PO02081003;LIEVRE,CONGELE;HAAS,BEVROREN;HARE,FROZEN;15119200-7;Viande de lièvre;Hare meat;Hazenvlees
PO02082001;CUISSE DE GRENOUILLE,FRAICHE;KIKKERBIL,VERS;FROG'S LEGS,FRESH;15119400-9;Cuisses de grenouilles;Frogs' legs;Kikkerbillen
PO02082002;CUISSE DE GRENOUILLE,CONGELE;KIKKERBIL,BEVROREN;FROG'S LEGS,FROZEN;15119400-9;Cuisses de grenouilles;Frogs' legs;Kikkerbillen
PO02089000;PIGEON DOMESTIQUE,FRAIS;DUIF,TAM,VERS;PIGEON,DOMESTICATED,FRESH;15119500-0;Pigeons;Pigeons;Duiven
PO02089001;PIGEON DOMESTIQUE,CONGELE;DUIF,TAM,BEVROREN;PIGEON,DOMESTICATED,FROZEN;15119500-0;Pigeons;Pigeons;Duiven
PO02089002;PERDRIX,FRAIS;PATRIJS,VERS;PARTRIDGE,FRESH;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02089003;PERDRIX,CONGELE;PATRIJS,BEVROREN;PARTRIDGE,FROZEN;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02089006;FAISAN,FRAIS;FAZANT,VERS;PHEASANT,FRESH;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02089007;RAMIER(PIGEON SAUVAGE),FRAIS;BOSDUIF,VERS;WOOD-PIGEON,FRESH;15119500-0;Pigeons;Pigeons;Duiven
PO02089011;VIANDE D'AUTRUCHE,FRAICHE;STRUISVOGELVLEES,VERS;OSTRICH MEAT,FRESH;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02089012;CAILLE,FRAICHE;KWARTEL,VERS;QUAIL,FRESH;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
PO02089013;VIANDE DE CHAMOIS,FRAICHE;GEMS,VLEES,VERS;CHAMOIS,MEAT,FRESH;15119300-8;Gibier;Game;Wild
PO02089016;FAISAN,CONGELE;FAZANT,BEVROREN;PHEASANT,FROZEN;15112100-7;Volaille fraîche;Fresh poultry;Vers gevogelte
